location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,ipc_phase,ipc_type,population_in_phase,population_fraction_in_phase,reference_period_start,reference_period_end
AFG,True,True,,,,,,,0,all,first projection,43100598,1.0,2023-05-01,2023-10-31
AFG,True,True,,,,,,,0,3+,first projection,15255335,0.35,2023-05-01,2023-10-31
AFG,True,True,,,,,,,0,1,first projection,11079611,0.26,2023-05-01,2023-10-31
AFG,True,True,,,,,,,0,2,first projection,16765652,0.39,2023-05-01,2023-10-31
AFG,True,True,,,,,,,0,3,first projection,12497192,0.29,2023-05-01,2023-10-31
AFG,True,True,,,,,,,0,4,first projection,2758143,0.06,2023-05-01,2023-10-31
AFG,True,True,,,,,,,0,5,first projection,0,0.0,2023-05-01,2023-10-31
AFG,True,True,,,,,,,0,all,current,41727303,1.0,2022-09-01,2022-10-31
AFG,True,True,,,,,,,0,3+,current,16973664,0.41,2022-09-01,2022-10-31
AFG,True,True,,,,,,,0,1,current,9354762,0.22,2022-09-01,2022-10-31
AFG,True,True,,,,,,,0,2,current,15398877,0.37,2022-09-01,2022-10-31
AFG,True,True,,,,,,,0,3,current,12536200,0.3,2022-09-01,2022-10-31
AFG,True,True,,,,,,,0,4,current,4437464,0.11,2022-09-01,2022-10-31
AFG,True,True,,,,,,,0,5,current,0,0.0,2022-09-01,2022-10-31
AFG,True,True,,,,,,,0,all,first projection,43100596,1.0,2022-11-01,2023-03-31
AFG,True,True,,,,,,,0,3+,first projection,19903995,0.46,2022-11-01,2023-03-31
AFG,True,True,,,,,,,0,1,first projection,8895869,0.21,2022-11-01,2023-03-31
AFG,True,True,,,,,,,0,2,first projection,14300733,0.33,2022-11-01,2023-03-31
AFG,True,True,,,,,,,0,3,first projection,13823864,0.32,2022-11-01,2023-03-31
AFG,True,True,,,,,,,0,4,first projection,6080130,0.14,2022-11-01,2023-03-31
AFG,True,True,,,,,,,0,5,first projection,0,0.0,2022-11-01,2023-03-31
AFG,True,True,,,,,,,0,all,current,41727303,1.0,2022-03-01,2022-05-31
AFG,True,True,,,,,,,0,3+,current,19650163,0.47,2022-03-01,2022-05-31
AFG,True,True,,,,,,,0,1,current,7451417,0.18,2022-03-01,2022-05-31
AFG,True,True,,,,,,,0,2,current,14625723,0.35,2022-03-01,2022-05-31
AFG,True,True,,,,,,,0,3,current,13036510,0.31,2022-03-01,2022-05-31
AFG,True,True,,,,,,,0,4,current,6593329,0.16,2022-03-01,2022-05-31
AFG,True,True,,,,,,,0,5,current,20324,0.0,2022-03-01,2022-05-31
AFG,True,True,,,,,,,0,all,first projection,41727303,1.0,2022-06-01,2022-11-30
AFG,True,True,,,,,,,0,3+,first projection,18920522,0.45,2022-06-01,2022-11-30
AFG,True,True,,,,,,,0,1,first projection,8076291,0.2,2022-06-01,2022-11-30
AFG,True,True,,,,,,,0,2,first projection,14730490,0.35,2022-06-01,2022-11-30
AFG,True,True,,,,,,,0,3,first projection,12944658,0.31,2022-06-01,2022-11-30
AFG,True,True,,,,,,,0,4,first projection,5975864,0.14,2022-06-01,2022-11-30
AFG,True,True,,,,,,,0,5,first projection,0,0.0,2022-06-01,2022-11-30
AFG,True,True,,,,,,,0,all,current,40411862,1.0,2021-09-01,2021-10-31
AFG,True,True,,,,,,,0,3+,current,18844453,0.47,2021-09-01,2021-10-31
AFG,True,True,,,,,,,0,1,current,7953993,0.2,2021-09-01,2021-10-31
AFG,True,True,,,,,,,0,2,current,13613416,0.33,2021-09-01,2021-10-31
AFG,True,True,,,,,,,0,3,current,11988297,0.3,2021-09-01,2021-10-31
AFG,True,True,,,,,,,0,4,current,6856155,0.17,2021-09-01,2021-10-31
AFG,True,True,,,,,,,0,5,current,0,0.0,2021-09-01,2021-10-31
AFG,True,True,,,,,,,0,all,first projection,41727304,1.0,2021-11-01,2022-03-31
AFG,True,True,,,,,,,0,3+,first projection,22813658,0.55,2021-11-01,2022-03-31
AFG,True,True,,,,,,,0,1,first projection,6440549,0.15,2021-11-01,2022-03-31
AFG,True,True,,,,,,,0,2,first projection,12473098,0.3,2021-11-01,2022-03-31
AFG,True,True,,,,,,,0,3,first projection,14073883,0.34,2021-11-01,2022-03-31
