location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,gender,age_range,min_age,max_age,population,reference_period_start,reference_period_end
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,f,5-9,5,9,103188,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,m,5-9,5,9,110447,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,all,5-9,5,9,213635,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,f,10-14,10,14,87127,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,m,10-14,10,14,95911,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,all,10-14,10,14,183038,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,f,15-19,15,19,74089,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,m,15-19,15,19,79233,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,all,15-19,15,19,153322,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,f,20-24,20,24,63046,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,m,20-24,20,24,58740,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,all,20-24,20,24,121786,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,f,25-29,25,29,50854,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,m,25-29,25,29,46265,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,all,25-29,25,29,97119,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,f,30-34,30,34,35591,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,m,30-34,30,34,35897,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,all,30-34,30,34,71488,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,f,35-39,35,39,28811,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,m,35-39,35,39,29330,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,all,35-39,35,39,58141,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,f,40-44,40,44,26430,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,m,40-44,40,44,24950,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,all,40-44,40,44,51380,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,f,45-49,45,49,22044,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,m,45-49,45,49,20768,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,all,45-49,45,49,42812,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,f,50-54,50,54,16946,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,m,50-54,50,54,16556,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,all,50-54,50,54,33502,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,f,55-59,55,59,13174,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,m,55-59,55,59,13830,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,all,55-59,55,59,27004,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,f,60-64,60,64,9779,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,m,60-64,60,64,12236,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,all,60-64,60,64,22015,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,f,65-69,65,69,6887,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,m,65-69,65,69,9461,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,all,65-69,65,69,16348,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,f,70-74,70,74,4231,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,m,70-74,70,74,6384,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,all,70-74,70,74,10615,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,f,75-79,75,79,1810,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,m,75-79,75,79,3006,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,all,75-79,75,79,4816,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,f,80+,80,None,2144,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,m,80+,80,None,3465,2021-01-01,2021-12-31
