origin_location_code,origin_has_hrp,origin_in_gho,asylum_location_code,asylum_has_hrp,asylum_in_gho,population_group,gender,age_range,min_age,max_age,population,reference_period_start,reference_period_end
AFG,True,True,ARG,False,True,REF,m,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,ARG,False,True,REF,m,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,ARG,False,True,REF,m,18-59,18,59,7,2020-01-01,2020-12-31
AFG,True,True,ARG,False,True,REF,m,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,ARG,False,True,REF,m,all,None,None,7,2020-01-01,2020-12-31
AFG,True,True,ARG,False,True,REF,all,all,None,None,12,2020-01-01,2020-12-31
AFG,True,True,ARM,False,False,REF,f,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,ARM,False,False,REF,f,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,ARM,False,False,REF,f,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,ARM,False,False,REF,f,18-59,18,59,0,2020-01-01,2020-12-31
AFG,True,True,ARM,False,False,REF,f,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,ARM,False,False,REF,f,all,None,None,0,2020-01-01,2020-12-31
AFG,True,True,ARM,False,False,REF,m,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,ARM,False,False,REF,m,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,ARM,False,False,REF,m,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,ARM,False,False,REF,m,18-59,18,59,5,2020-01-01,2020-12-31
AFG,True,True,ARM,False,False,REF,m,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,ARM,False,False,REF,m,all,None,None,5,2020-01-01,2020-12-31
AFG,True,True,ARM,False,False,REF,all,all,None,None,5,2020-01-01,2020-12-31
AFG,True,True,AUS,False,False,ASY,f,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,AUS,False,False,ASY,f,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,AUS,False,False,ASY,f,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,AUS,False,False,ASY,f,18-59,18,59,0,2020-01-01,2020-12-31
AFG,True,True,AUS,False,False,ASY,f,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,AUS,False,False,ASY,f,all,None,None,0,2020-01-01,2020-12-31
AFG,True,True,AUS,False,False,ASY,m,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,AUS,False,False,ASY,m,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,AUS,False,False,ASY,m,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,AUS,False,False,ASY,m,18-59,18,59,0,2020-01-01,2020-12-31
AFG,True,True,AUS,False,False,ASY,m,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,AUS,False,False,ASY,m,all,None,None,0,2020-01-01,2020-12-31
AFG,True,True,AUS,False,False,ASY,all,all,None,None,1761,2020-01-01,2020-12-31
AFG,True,True,AUS,False,False,REF,f,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,AUS,False,False,REF,f,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,AUS,False,False,REF,f,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,AUS,False,False,REF,f,18-59,18,59,0,2020-01-01,2020-12-31
AFG,True,True,AUS,False,False,REF,f,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,AUS,False,False,REF,f,all,None,None,0,2020-01-01,2020-12-31
AFG,True,True,AUS,False,False,REF,m,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,AUS,False,False,REF,m,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,AUS,False,False,REF,m,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,AUS,False,False,REF,m,18-59,18,59,0,2020-01-01,2020-12-31
AFG,True,True,AUS,False,False,REF,m,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,AUS,False,False,REF,m,all,None,None,0,2020-01-01,2020-12-31
AFG,True,True,AUS,False,False,REF,all,all,None,None,10659,2020-01-01,2020-12-31
AFG,True,True,AUT,False,False,ASY,f,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,AUT,False,False,ASY,f,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,AUT,False,False,ASY,f,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,AUT,False,False,ASY,f,18-59,18,59,0,2020-01-01,2020-12-31
AFG,True,True,AUT,False,False,ASY,f,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,AUT,False,False,ASY,f,all,None,None,1353,2020-01-01,2020-12-31
AFG,True,True,AUT,False,False,ASY,m,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,AUT,False,False,ASY,m,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,AUT,False,False,ASY,m,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,AUT,False,False,ASY,m,18-59,18,59,0,2020-01-01,2020-12-31
AFG,True,True,AUT,False,False,ASY,m,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,AUT,False,False,ASY,m,all,None,None,5120,2020-01-01,2020-12-31
AFG,True,True,AUT,False,False,ASY,all,all,None,None,6473,2020-01-01,2020-12-31
AFG,True,True,AUT,False,False,REF,f,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,AUT,False,False,REF,f,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,AUT,False,False,REF,f,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,AUT,False,False,REF,f,18-59,18,59,0,2020-01-01,2020-12-31
AFG,True,True,AUT,False,False,REF,f,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,AUT,False,False,REF,f,all,None,None,0,2020-01-01,2020-12-31
AFG,True,True,AUT,False,False,REF,m,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,AUT,False,False,REF,m,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,AUT,False,False,REF,m,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,AUT,False,False,REF,m,18-59,18,59,0,2020-01-01,2020-12-31
AFG,True,True,AUT,False,False,REF,m,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,AUT,False,False,REF,m,all,None,None,0,2020-01-01,2020-12-31
AFG,True,True,AUT,False,False,REF,all,all,None,None,40096,2020-01-01,2020-12-31
AFG,True,True,AZE,False,False,ASY,f,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,AZE,False,False,ASY,f,5-11,5,11,5,2020-01-01,2020-12-31
AFG,True,True,AZE,False,False,ASY,f,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,AZE,False,False,ASY,f,18-59,18,59,7,2020-01-01,2020-12-31
AFG,True,True,AZE,False,False,ASY,f,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,AZE,False,False,ASY,f,all,None,None,12,2020-01-01,2020-12-31
AFG,True,True,AZE,False,False,ASY,m,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,AZE,False,False,ASY,m,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,AZE,False,False,ASY,m,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,AZE,False,False,ASY,m,18-59,18,59,12,2020-01-01,2020-12-31
AFG,True,True,AZE,False,False,ASY,m,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,AZE,False,False,ASY,m,all,None,None,12,2020-01-01,2020-12-31
AFG,True,True,AZE,False,False,ASY,all,all,None,None,24,2020-01-01,2020-12-31
AFG,True,True,AZE,False,False,REF,f,0-4,0,4,56,2020-01-01,2020-12-31
AFG,True,True,AZE,False,False,REF,f,5-11,5,11,54,2020-01-01,2020-12-31
AFG,True,True,AZE,False,False,REF,f,12-17,12,17,40,2020-01-01,2020-12-31
AFG,True,True,AZE,False,False,REF,f,18-59,18,59,261,2020-01-01,2020-12-31
AFG,True,True,AZE,False,False,REF,f,60+,60,None,8,2020-01-01,2020-12-31
AFG,True,True,AZE,False,False,REF,f,all,None,None,419,2020-01-01,2020-12-31
AFG,True,True,AZE,False,False,REF,m,0-4,0,4,51,2020-01-01,2020-12-31
AFG,True,True,AZE,False,False,REF,m,5-11,5,11,65,2020-01-01,2020-12-31
AFG,True,True,AZE,False,False,REF,m,12-17,12,17,65,2020-01-01,2020-12-31
AFG,True,True,AZE,False,False,REF,m,18-59,18,59,467,2020-01-01,2020-12-31
AFG,True,True,AZE,False,False,REF,m,60+,60,None,20,2020-01-01,2020-12-31
AFG,True,True,AZE,False,False,REF,m,all,None,None,668,2020-01-01,2020-12-31
AFG,True,True,AZE,False,False,REF,all,all,None,None,1087,2020-01-01,2020-12-31
AFG,True,True,BEL,False,False,ASY,f,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,BEL,False,False,ASY,f,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,BEL,False,False,ASY,f,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,BEL,False,False,ASY,f,18-59,18,59,0,2020-01-01,2020-12-31
AFG,True,True,BEL,False,False,ASY,f,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,BEL,False,False,ASY,f,all,None,None,370,2020-01-01,2020-12-31
AFG,True,True,BEL,False,False,ASY,m,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,BEL,False,False,ASY,m,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,BEL,False,False,ASY,m,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,BEL,False,False,ASY,m,18-59,18,59,0,2020-01-01,2020-12-31
AFG,True,True,BEL,False,False,ASY,m,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,BEL,False,False,ASY,m,all,None,None,3845,2020-01-01,2020-12-31
AFG,True,True,BEL,False,False,ASY,all,all,None,None,4215,2020-01-01,2020-12-31
AFG,True,True,BEL,False,False,REF,f,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,BEL,False,False,REF,f,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,BEL,False,False,REF,f,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,BEL,False,False,REF,f,18-59,18,59,0,2020-01-01,2020-12-31
AFG,True,True,BEL,False,False,REF,f,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,BEL,False,False,REF,f,all,None,None,1518,2020-01-01,2020-12-31
AFG,True,True,BEL,False,False,REF,m,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,BEL,False,False,REF,m,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,BEL,False,False,REF,m,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,BEL,False,False,REF,m,18-59,18,59,0,2020-01-01,2020-12-31
AFG,True,True,BEL,False,False,REF,m,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,BEL,False,False,REF,m,all,None,None,3171,2020-01-01,2020-12-31
AFG,True,True,BEL,False,False,REF,all,all,None,None,4689,2020-01-01,2020-12-31
AFG,True,True,BGR,False,True,ASY,f,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,BGR,False,True,ASY,f,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,BGR,False,True,ASY,f,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,BGR,False,True,ASY,f,18-59,18,59,0,2020-01-01,2020-12-31
AFG,True,True,BGR,False,True,ASY,f,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,BGR,False,True,ASY,f,all,None,None,113,2020-01-01,2020-12-31
AFG,True,True,BGR,False,True,ASY,m,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,BGR,False,True,ASY,m,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,BGR,False,True,ASY,m,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,BGR,False,True,ASY,m,18-59,18,59,0,2020-01-01,2020-12-31
AFG,True,True,BGR,False,True,ASY,m,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,BGR,False,True,ASY,m,all,None,None,829,2020-01-01,2020-12-31
AFG,True,True,BGR,False,True,ASY,all,all,None,None,942,2020-01-01,2020-12-31
AFG,True,True,BGR,False,True,REF,f,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,BGR,False,True,REF,f,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,BGR,False,True,REF,f,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,BGR,False,True,REF,f,18-59,18,59,0,2020-01-01,2020-12-31
AFG,True,True,BGR,False,True,REF,f,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,BGR,False,True,REF,f,all,None,None,0,2020-01-01,2020-12-31
AFG,True,True,BGR,False,True,REF,m,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,BGR,False,True,REF,m,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,BGR,False,True,REF,m,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,BGR,False,True,REF,m,18-59,18,59,0,2020-01-01,2020-12-31
AFG,True,True,BGR,False,True,REF,m,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,BGR,False,True,REF,m,all,None,None,0,2020-01-01,2020-12-31
AFG,True,True,BGR,False,True,REF,all,all,None,None,244,2020-01-01,2020-12-31
AFG,True,True,BIH,False,False,ASY,f,0-4,0,4,7,2020-01-01,2020-12-31
AFG,True,True,BIH,False,False,ASY,f,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,BIH,False,False,ASY,f,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,BIH,False,False,ASY,f,18-59,18,59,0,2020-01-01,2020-12-31
AFG,True,True,BIH,False,False,ASY,f,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,BIH,False,False,ASY,f,all,None,None,7,2020-01-01,2020-12-31
AFG,True,True,BIH,False,False,ASY,m,0-4,0,4,5,2020-01-01,2020-12-31
AFG,True,True,BIH,False,False,ASY,m,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,BIH,False,False,ASY,m,12-17,12,17,8,2020-01-01,2020-12-31
AFG,True,True,BIH,False,False,ASY,m,18-59,18,59,13,2020-01-01,2020-12-31
AFG,True,True,BIH,False,False,ASY,m,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,BIH,False,False,ASY,m,all,None,None,26,2020-01-01,2020-12-31
AFG,True,True,BIH,False,False,ASY,all,all,None,None,33,2020-01-01,2020-12-31
AFG,True,True,BIH,False,False,OOC,f,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,BIH,False,False,OOC,f,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,BIH,False,False,OOC,f,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,BIH,False,False,OOC,f,18-59,18,59,0,2020-01-01,2020-12-31
AFG,True,True,BIH,False,False,OOC,f,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,BIH,False,False,OOC,f,all,None,None,158,2020-01-01,2020-12-31
AFG,True,True,BIH,False,False,OOC,m,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,BIH,False,False,OOC,m,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,BIH,False,False,OOC,m,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,BIH,False,False,OOC,m,18-59,18,59,0,2020-01-01,2020-12-31
AFG,True,True,BIH,False,False,OOC,m,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,BIH,False,False,OOC,m,all,None,None,1684,2020-01-01,2020-12-31
AFG,True,True,BIH,False,False,OOC,all,all,None,None,1842,2020-01-01,2020-12-31
AFG,True,True,BLR,False,False,REF,f,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,BLR,False,False,REF,f,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,BLR,False,False,REF,f,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,BLR,False,False,REF,f,18-59,18,59,0,2020-01-01,2020-12-31
AFG,True,True,BLR,False,False,REF,f,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,BLR,False,False,REF,f,all,None,None,0,2020-01-01,2020-12-31
AFG,True,True,BLR,False,False,REF,m,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,BLR,False,False,REF,m,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,BLR,False,False,REF,m,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,BLR,False,False,REF,m,18-59,18,59,0,2020-01-01,2020-12-31
AFG,True,True,BLR,False,False,REF,m,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,BLR,False,False,REF,m,all,None,None,0,2020-01-01,2020-12-31
AFG,True,True,BLR,False,False,REF,all,all,None,None,222,2020-01-01,2020-12-31
AFG,True,True,BRA,False,True,ASY,f,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,BRA,False,True,ASY,f,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,BRA,False,True,ASY,f,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,BRA,False,True,ASY,f,18-59,18,59,0,2020-01-01,2020-12-31
AFG,True,True,BRA,False,True,ASY,f,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,BRA,False,True,ASY,f,all,None,None,0,2020-01-01,2020-12-31
AFG,True,True,BRA,False,True,ASY,m,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,BRA,False,True,ASY,m,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,BRA,False,True,ASY,m,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,BRA,False,True,ASY,m,18-59,18,59,0,2020-01-01,2020-12-31
AFG,True,True,BRA,False,True,ASY,m,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,BRA,False,True,ASY,m,all,None,None,0,2020-01-01,2020-12-31
AFG,True,True,BRA,False,True,ASY,all,all,None,None,173,2020-01-01,2020-12-31
AFG,True,True,BRA,False,True,REF,f,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,BRA,False,True,REF,f,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,BRA,False,True,REF,f,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,BRA,False,True,REF,f,18-59,18,59,0,2020-01-01,2020-12-31
AFG,True,True,BRA,False,True,REF,f,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,BRA,False,True,REF,f,all,None,None,0,2020-01-01,2020-12-31
AFG,True,True,BRA,False,True,REF,m,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,BRA,False,True,REF,m,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,BRA,False,True,REF,m,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,BRA,False,True,REF,m,18-59,18,59,0,2020-01-01,2020-12-31
AFG,True,True,BRA,False,True,REF,m,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,BRA,False,True,REF,m,all,None,None,0,2020-01-01,2020-12-31
AFG,True,True,BRA,False,True,REF,all,all,None,None,143,2020-01-01,2020-12-31
AFG,True,True,CAN,False,False,ASY,f,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,CAN,False,False,ASY,f,5-11,5,11,34,2020-01-01,2020-12-31
AFG,True,True,CAN,False,False,ASY,f,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,CAN,False,False,ASY,f,18-59,18,59,99,2020-01-01,2020-12-31
AFG,True,True,CAN,False,False,ASY,f,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,CAN,False,False,ASY,f,all,None,None,209,2020-01-01,2020-12-31
AFG,True,True,CAN,False,False,ASY,m,0-4,0,4,20,2020-01-01,2020-12-31
AFG,True,True,CAN,False,False,ASY,m,5-11,5,11,23,2020-01-01,2020-12-31
AFG,True,True,CAN,False,False,ASY,m,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,CAN,False,False,ASY,m,18-59,18,59,177,2020-01-01,2020-12-31
AFG,True,True,CAN,False,False,ASY,m,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,CAN,False,False,ASY,m,all,None,None,298,2020-01-01,2020-12-31
AFG,True,True,CAN,False,False,ASY,all,all,None,None,507,2020-01-01,2020-12-31
AFG,True,True,CAN,False,False,REF,f,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,CAN,False,False,REF,f,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,CAN,False,False,REF,f,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,CAN,False,False,REF,f,18-59,18,59,30,2020-01-01,2020-12-31
AFG,True,True,CAN,False,False,REF,f,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,CAN,False,False,REF,f,all,None,None,73,2020-01-01,2020-12-31
AFG,True,True,CAN,False,False,REF,m,0-4,0,4,5,2020-01-01,2020-12-31
AFG,True,True,CAN,False,False,REF,m,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,CAN,False,False,REF,m,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,CAN,False,False,REF,m,18-59,18,59,110,2020-01-01,2020-12-31
AFG,True,True,CAN,False,False,REF,m,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,CAN,False,False,REF,m,all,None,None,153,2020-01-01,2020-12-31
AFG,True,True,CAN,False,False,REF,all,all,None,None,2261,2020-01-01,2020-12-31
AFG,True,True,CHE,False,False,ASY,f,0-4,0,4,32,2020-01-01,2020-12-31
AFG,True,True,CHE,False,False,ASY,f,5-11,5,11,36,2020-01-01,2020-12-31
AFG,True,True,CHE,False,False,ASY,f,12-17,12,17,25,2020-01-01,2020-12-31
AFG,True,True,CHE,False,False,ASY,f,18-59,18,59,122,2020-01-01,2020-12-31
AFG,True,True,CHE,False,False,ASY,f,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,CHE,False,False,ASY,f,all,None,None,215,2020-01-01,2020-12-31
AFG,True,True,CHE,False,False,ASY,m,0-4,0,4,33,2020-01-01,2020-12-31
AFG,True,True,CHE,False,False,ASY,m,5-11,5,11,54,2020-01-01,2020-12-31
