location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,operation,assessment_type,population,reporting_round,reference_period_start,reference_period_end
AFG,True,True,Kabul,Kabul,AF01,Kabul,AF0101,Kabul,2,Returns and displacement in Afghanistan,BA,262371,13,2021-06-30,2021-06-30
AFG,True,True,Kabul,Kabul,AF01,Kabul,AF0101,Kabul,2,Returns and displacement in Afghanistan,BA,349386,14,2021-12-31,2021-12-31
AFG,True,True,Kabul,Kabul,AF01,Kabul,AF0101,Kabul,2,Returns and displacement in Afghanistan,BA,380623,15,2022-04-30,2022-04-30
AFG,True,True,Kabul,Kabul,AF01,Kabul,AF0101,Kabul,2,Returns and displacement in Afghanistan,BA,576458,16,2022-12-31,2022-12-31
AFG,True,True,Kabul,Paghman,AF01,Kabul,AF0102,Paghman,2,Returns and displacement in Afghanistan,BA,49175,2,2017-06-30,2017-06-30
AFG,True,True,Kabul,Paghman,AF01,Kabul,AF0102,Paghman,2,Returns and displacement in Afghanistan,BA,34625,3,2017-12-31,2017-12-31
AFG,True,True,Kabul,Paghman,AF01,Kabul,AF0102,Paghman,2,Returns and displacement in Afghanistan,BA,1068,4,2018-03-30,2018-03-30
AFG,True,True,Kabul,Paghman,AF01,Kabul,AF0102,Paghman,2,Returns and displacement in Afghanistan,BA,1368,5,2018-06-30,2018-06-30
AFG,True,True,Kabul,Paghman,AF01,Kabul,AF0102,Paghman,2,Returns and displacement in Afghanistan,BA,1403,6,2018-09-30,2018-09-30
AFG,True,True,Kabul,Paghman,AF01,Kabul,AF0102,Paghman,2,Returns and displacement in Afghanistan,BA,1403,7,2018-12-31,2018-12-31
AFG,True,True,Kabul,Paghman,AF01,Kabul,AF0102,Paghman,2,Returns and displacement in Afghanistan,BA,11798,8,2019-06-30,2019-06-30
AFG,True,True,Kabul,Paghman,AF01,Kabul,AF0102,Paghman,2,Returns and displacement in Afghanistan,BA,12200,9,2019-12-31,2019-12-31
AFG,True,True,Kabul,Paghman,AF01,Kabul,AF0102,Paghman,2,Returns and displacement in Afghanistan,BA,13782,10,2020-06-30,2020-06-30
AFG,True,True,Kabul,Paghman,AF01,Kabul,AF0102,Paghman,2,Returns and displacement in Afghanistan,BA,21132,11,2020-12-31,2020-12-31
AFG,True,True,Kabul,Paghman,AF01,Kabul,AF0102,Paghman,2,Returns and displacement in Afghanistan,BA,29063,12,2021-03-30,2021-03-30
AFG,True,True,Kabul,Paghman,AF01,Kabul,AF0102,Paghman,2,Returns and displacement in Afghanistan,BA,32798,13,2021-06-30,2021-06-30
AFG,True,True,Kabul,Paghman,AF01,Kabul,AF0102,Paghman,2,Returns and displacement in Afghanistan,BA,42890,14,2021-12-31,2021-12-31
AFG,True,True,Kabul,Paghman,AF01,Kabul,AF0102,Paghman,2,Returns and displacement in Afghanistan,BA,44562,15,2022-04-30,2022-04-30
AFG,True,True,Kabul,Paghman,AF01,Kabul,AF0102,Paghman,2,Returns and displacement in Afghanistan,BA,51095,16,2022-12-31,2022-12-31
AFG,True,True,Kabul,Chahar Asyab,AF01,Kabul,AF0103,Chahar Asyab,2,Returns and displacement in Afghanistan,BA,14934,2,2017-06-30,2017-06-30
AFG,True,True,Kabul,Chahar Asyab,AF01,Kabul,AF0103,Chahar Asyab,2,Returns and displacement in Afghanistan,BA,7327,3,2017-12-31,2017-12-31
AFG,True,True,Kabul,Chahar Asyab,AF01,Kabul,AF0103,Chahar Asyab,2,Returns and displacement in Afghanistan,BA,15485,4,2018-03-30,2018-03-30
AFG,True,True,Kabul,Chahar Asyab,AF01,Kabul,AF0103,Chahar Asyab,2,Returns and displacement in Afghanistan,BA,19469,5,2018-06-30,2018-06-30
AFG,True,True,Kabul,Chahar Asyab,AF01,Kabul,AF0103,Chahar Asyab,2,Returns and displacement in Afghanistan,BA,20741,6,2018-09-30,2018-09-30
AFG,True,True,Kabul,Chahar Asyab,AF01,Kabul,AF0103,Chahar Asyab,2,Returns and displacement in Afghanistan,BA,20741,7,2018-12-31,2018-12-31
AFG,True,True,Kabul,Chahar Asyab,AF01,Kabul,AF0103,Chahar Asyab,2,Returns and displacement in Afghanistan,BA,22974,8,2019-06-30,2019-06-30
