location_code,has_hrp,in_gho,provider_admin1_name,admin1_code,admin1_name,admin_level,mpi,headcount_ratio,intensity_of_deprivation,vulnerable_to_poverty,in_severe_poverty,reference_period_start,reference_period_end
AFG,True,True,Logar,AF05,Logar,1,0.2152,42.0406,51.192,41.9146,18.693,2022-01-01,2023-12-31
AFG,True,True,Nangarhar,AF06,Nangarhar,1,0.2381,47.1923,50.46,29.2548,20.8954,2015-01-01,2016-12-31
AFG,True,True,Nangarhar,AF06,Nangarhar,1,0.2613,53.368,48.9617,26.6321,25.2242,2022-01-01,2023-12-31
AFG,True,True,Nimroz,AF34,Nimroz,1,0.1878,41.318,45.4425,32.4503,11.1837,2015-01-01,2016-12-31
AFG,True,True,Nimroz,AF34,Nimroz,1,0.2378,47.7913,49.7598,26.1238,21.665,2022-01-01,2023-12-31
AFG,True,True,Nooristan,AF16,Nuristan,1,0.5352,88.7833,60.2822,10.3832,60.1093,2015-01-01,2016-12-31
AFG,True,True,Nooristan,AF16,Nuristan,1,0.4187,77.1395,54.2787,18.4366,41.1213,2022-01-01,2023-12-31
AFG,True,True,Paktika,AF12,Paktika,1,0.1148,23.6924,48.4595,50.1823,4.9688,2015-01-01,2016-12-31
AFG,True,True,Paktika,AF12,Paktika,1,0.3352,65.6979,51.0187,30.9284,28.4228,2022-01-01,2023-12-31
AFG,True,True,Paktya,AF13,Paktya,1,0.1854,39.6511,46.7677,40.5365,12.8656,2015-01-01,2016-12-31
AFG,True,True,Paktya,AF13,Paktya,1,0.2251,45.1286,49.8812,40.4018,19.6488,2022-01-01,2023-12-31
AFG,True,True,Panjsher,AF08,Panjsher,1,0.0946,21.6449,43.6847,42.9808,4.8027,2015-01-01,2016-12-31
AFG,True,True,Panjsher,AF08,Panjsher,1,0.1137,26.5773,42.7859,45.771,4.0063,2022-01-01,2023-12-31
AFG,True,True,Parwan,AF03,Parwan,1,0.2094,45.174,46.347,31.9187,14.4825,2015-01-01,2016-12-31
AFG,True,True,Parwan,AF03,Parwan,1,0.2179,43.4951,50.0928,32.6293,18.9266,2022-01-01,2023-12-31
AFG,True,True,Samangan,AF20,Samangan,1,0.3087,62.6945,49.246,27.9372,28.2073,2015-01-01,2016-12-31
AFG,True,True,Samangan,AF20,Samangan,1,0.3972,74.6561,53.202,19.0334,44.0436,2022-01-01,2023-12-31
AFG,True,True,Sar-e-Pul,AF22,Sar-e-Pul,1,0.297,62.4235,47.5854,27.7577,25.5355,2015-01-01,2016-12-31
AFG,True,True,Sar-e-Pul,AF22,Sar-e-Pul,1,0.3243,63.2112,51.301,20.3037,31.5108,2022-01-01,2023-12-31
AFG,True,True,Takhar,AF18,Takhar,1,0.2423,48.1973,50.2705,28.7352,22.8784,2015-01-01,2016-12-31
AFG,True,True,Takhar,AF18,Takhar,1,0.2455,50.3623,48.7397,33.0496,20.6116,2022-01-01,2023-12-31
AFG,True,True,Urozgan,AF25,Uruzgan,1,0.5064,90.4027,56.0208,8.9814,64.5205,2015-01-01,2016-12-31
AFG,True,True,Urozgan,AF25,Uruzgan,1,0.3911,75.9663,51.4842,17.8652,41.2554,2022-01-01,2023-12-31
AFG,True,True,Wardak,AF04,Maidan Wardak,1,0.2605,57.687,45.163,32.3081,17.2763,2015-01-01,2016-12-31
AFG,True,True,Wardak,AF04,Maidan Wardak,1,0.2544,51.0114,49.8755,32.5402,22.5734,2022-01-01,2023-12-31
AFG,True,True,Zabul,AF26,Zabul,1,0.1639,33.9201,48.3075,30.7932,12.786,2015-01-01,2016-12-31
AFG,True,True,Zabul,AF26,Zabul,1,0.4294,79.064,54.3063,17.8608,44.05,2022-01-01,2023-12-31
